Freq.	V(a)
1.00000000000000e+001	(-1.71449204949260e-004dB,-3.59995262702100e-001°)
1.58489319246111e+001	(-4.30648080134151e-004dB,-5.70542690438718e-001°)
2.51188643150958e+001	(-1.08165799327878e-003dB,-9.04204043672608e-001°)
3.98107170553497e+001	(-2.71649066155596e-003dB,-1.43288701578731e+000°)
6.30957344480193e+001	(-6.82029231546337e-003dB,-2.27025757740500e+000°)
1.00000000000000e+002	(-1.71115043445819e-002dB,-3.59527377986818e+000°)
1.58489319246111e+002	(-4.28548072076173e-002dB,-5.68686695001038e+000°)
2.51188643150958e+002	(-1.06853905079451e-001dB,-8.96881082922132e+000°)
3.98107170553497e+002	(-2.63571721820995e-001dB,-1.40436910015372e+001°)
6.30957344480193e+002	(-6.33958190331212e-001dB,-2.16254636623916e+001°)
1.00000000000000e+003	(-1.44507011620529e+000dB,-3.21419076353421e+001°)
1.58489319246111e+003	(-2.99213678104054e+000dB,-4.48799368167268e+001°)
2.51188643150958e+003	(-5.42939865722657e+000dB,-5.76413569638678e+001°)
3.98107170553498e+003	(-8.60751589249380e+000dB,-6.82095001614601e+001°)
6.30957344480194e+003	(-1.22314901921096e+001dB,-7.58428341936503e+001°)
1.00000000000000e+004	(-1.60722352658055e+001dB,-8.09569389209623e+001°)
1.58489319246111e+004	(-2.00071730267764e+001dB,-8.42655830069554e+001°)
2.51188643150958e+004	(-2.39809975685203e+001dB,-8.63745443029826e+001°)
3.98107170553498e+004	(-2.79705328668012e+001dB,-8.77106533598157e+001°)
6.30957344480194e+004	(-3.19663597664115e+001dB,-8.85550571172595e+001°)
1.00000000000000e+005	(-3.59646973086329e+001dB,-8.90881863303862e+001°)
1.58489319246112e+005	(-3.99640352951263e+001dB,-8.94246552343310e+001°)
2.51188643150958e+005	(-4.39637717147156e+001dB,-8.96369746502978e+001°)
3.98107170553498e+005	(-4.79636667770120e+001dB,-8.97709446445006e+001°)
6.30957344480194e+005	(-5.19636249998541e+001dB,-8.98554753777348e+001°)
1.00000000000000e+006	(-5.59636083679561e+001dB,-8.99088110117167e+001°)
